year,age,n
1972,11,47.8452
1973,11,47.27865
1974,11,47.00346
1975,11,46.63364
1976,11,46.65957
1977,11,46.4206
1978,11,46.63335
1979,11,46.85863
1980,11,46.45338
1981,11,46.259
1982,11,45.89294
1983,11,45.47182
1984,11,45.26715
1985,11,44.98698
1986,11,44.57851
1987,11,44.06141
1988,11,43.39327
1989,11,42.62625
1990,11,42.25033
1991,11,42.04227
1992,11,42.02722
1993,11,41.95891
1994,11,41.41223
1995,11,45.16454
1996,11,41.09525
1997,11,38.74103
1998,11,41.79553
1999,11,44.56948
2000,11,46.90646
2001,11,68.0911
2002,11,37.30189
2003,11,45.69708
2004,11,39.28877
2005,11,40.41973
2006,11,24.68642
2007,11,16.98722
2008,11,27.26262
2009,11,31.18563
2010,11,12.31485
2011,11,18.07661
2012,11,32.17402
2013,11,18.01638
2014,11,23.66267
2015,11,27.75482
2016,11,31.16861
2017,11,41.05345
2018,11,18.86183
2019,11,39.83201
2020,11,37.03616
2021,11,34.25274
2022,11,24.55197
2023,11,28.52922
1952,12,41.51335
1953,12,41.5096
1954,12,41.49846
1955,12,41.4237
1956,12,41.31832
1957,12,41.22622
1958,12,41.15685
1959,12,41.02327
1960,12,40.87041
1961,12,40.74326
1962,12,40.55629
1963,12,40.35483
1964,12,40.12671
1965,12,40.0327
1966,12,39.82254
1967,12,39.55726
1968,12,39.3172
1969,12,38.97274
1970,12,38.70176
1971,12,38.47304
1972,12,37.93103
1973,12,37.43753
1974,12,37.20386
1975,12,36.87458
1976,12,36.77945
1977,12,36.59152
1978,12,36.7438
1979,12,36.8813
1980,12,36.86059
1981,12,36.47568
1982,12,36.16094
1983,12,35.91068
1984,12,35.79153
1985,12,35.57527
1986,12,35.30346
1987,12,34.9496
1988,12,34.54885
1989,12,33.84236
1990,12,33.37766
1991,12,33.1528
1992,12,33.04241
1993,12,32.9141
1994,12,33.01513
1995,12,32.46526
1996,12,35.55676
1997,12,32.16725
1998,12,30.05382
1999,12,32.22649
2000,12,34.25194
2001,12,35.9234
2002,12,51.75262
2003,12,28.23258
2004,12,34.45841
2005,12,29.50526
2006,12,30.61684
2007,12,18.47407
2008,12,12.64516
2009,12,20.6079
2010,12,23.82837
2011,12,9.45493
2012,12,13.78221
2013,12,24.4665
2014,12,13.71162
2015,12,17.96169
2016,12,20.96461
2017,12,23.692
2018,12,31.19844
2019,12,14.21559
2020,12,30.18614
2021,12,28.28674
2022,12,26.2022
2023,12,18.78244
1952,13,33.08881
1953,13,33.0859
1954,13,33.07744
1955,13,33.01989
1956,13,32.9401
1957,13,32.87112
1958,13,32.81983
1959,13,32.71922
1960,13,32.60427
1961,13,32.50785
1962,13,32.36436
1963,13,32.20326
1964,13,32.0121
1965,13,31.90032
1966,13,31.70134
1967,13,31.50503
1968,13,31.33195
1969,13,31.03441
1970,13,30.7883
1971,13,30.61704
1972,13,30.18297
1973,13,29.76525
1974,13,29.54702
1975,13,29.27502
1976,13,29.16687
1977,13,28.93153
1978,13,29.04564
1979,13,29.14245
1980,13,29.09989
1981,13,29.03109
1982,13,28.60237
1983,13,28.38552
1984,13,28.3512
1985,13,28.21348
1986,13,28.00637
1987,13,27.76657
1988,13,27.49262
1989,13,27.0377
1990,13,26.58504
1991,13,26.27367
1992,13,26.13706
1993,13,25.95978
1994,13,25.97892
1995,13,25.96813
1996,13,25.63863
1997,13,27.92479
1998,13,25.04295
1999,13,23.26334
2000,13,24.86728
2001,13,26.34616
2002,13,27.43323
2003,13,39.36779
2004,13,21.39774
