year,age,n
2021,10,0.1244374
2022,10,0.1829885
1954,11,2.523877
1955,11,2.521231
1956,11,2.504321
1957,11,2.48788
1958,11,2.44949
1959,11,2.382606
1960,11,2.31168
1961,11,2.280329
1962,11,2.231386
1963,11,2.170989
1964,11,2.098413
1965,11,2.033457
1966,11,2.12204
1967,11,1.059124
1968,11,1.103957
1969,11,0.479738
1970,11,0.284311
1971,11,0.753769
1972,11,0.952369
1973,11,1.15882
1974,11,0.284687
1975,11,0.0962121
1976,11,0.425222
1977,11,0.329017
1978,11,0.352586
1979,11,0.295793
1980,11,0.2131475
1981,11,0.2431264
1982,11,0.294813
1983,11,0.59562
1984,11,0.830988
1985,11,0.370045
1986,11,0.1963382
1987,11,0.2119067
1988,11,0.282416
1989,11,0.376651
1990,11,0.53356
1991,11,0.429039
1992,11,0.34077
1993,11,0.368886
1994,11,0.466429
1995,11,0.1836284
1996,11,0.307572
1997,11,0.288768
1998,11,0.592303
1999,11,0.546214
2000,11,0.222956
2001,11,0.554585
2002,11,0.318902
2003,11,0.342747
2004,11,0.317531
2005,11,0.340896
2006,11,0.1461719
2007,11,0.1088255
2008,11,0.0774218
2009,11,0.333244
2010,11,0.0862955
2011,11,0.30351
2012,11,0.278212
2013,11,0.1931939
2014,11,0.0886798
2015,11,0.0781006
2016,11,0.1504191
2017,11,0.1914008
2018,11,0.1188557
2019,11,0.1225907
2020,11,0.2001954
2021,11,0.237173
2022,11,0.0668524
1954,12,10.40105
1955,12,9.51338
1956,12,8.81672
1957,12,8.30504
1958,12,7.87772
1959,12,7.51293
1960,12,7.13818
1961,12,6.80079
1962,12,6.53832
1963,12,6.28784
1964,12,6.00092
1965,12,5.75491
1966,12,5.47427
1967,12,5.15687
1968,12,4.14815
1969,12,3.56306
1970,12,2.79589
1971,12,2.065269
1972,12,1.818944
1973,12,1.76949
1974,12,1.808329
1975,12,1.314399
1976,12,0.942562
1977,12,0.927805
1978,12,0.786103
1979,12,0.719312
1980,12,0.675584
1981,12,0.591239
1982,12,0.547773
1983,12,0.543654
1984,12,0.751954
1985,12,1.044198
1986,12,0.95178
1987,12,0.761399
1988,12,0.658357
1989,12,0.614553
1990,12,0.659433
1991,12,0.821182
1992,12,0.825461
1993,12,0.734521
1994,12,0.728934
1995,12,0.799005
1996,12,0.664981
1997,12,0.652452
1998,12,0.625119
1999,12,0.767565
2000,12,0.868535
2001,12,0.719239
2002,12,0.801178
2003,12,0.640014
2004,12,0.552664
2005,12,0.510444
2006,12,0.492974
2007,12,0.375807
2008,12,0.288414
2009,12,0.230116
2010,12,0.335916
2011,12,0.223598
2012,12,0.294451
2013,12,0.330682
2014,12,0.295375
2015,12,0.210722
2016,12,0.1519408
2017,12,0.1694183
2018,12,0.2084036
2019,12,0.1762224
2020,12,0.1626201
2021,12,0.1975201
2022,12,0.241062
