year,age,f
2004,8,0.3146739
2005,8,0.3526829
2006,8,0.3204581
2007,8,0.2708883
2008,8,0.2273865
2009,8,0.3242095
2010,8,0.5227826
2011,8,0.3987
2012,8,0.3621235
2013,8,0.4082504
2014,8,0.4789238
2015,8,0.5762992
2016,8,0.4049077
2017,8,0.3758377
2018,8,0.524742
2019,8,0.5028064
2020,8,0.4361876
2021,8,0.4762094
2022,8,0.6143407
1954,9,0.001757778
1955,9,0.007170101
1956,9,0.005248438
1957,9,0.01073509
1958,9,0.01494776
1959,9,0.02451544
1960,9,0.02756685
1961,9,0.0269405
1962,9,0.03379166
1963,9,0.04484627
1964,9,0.04666985
1965,9,0.06030511
1966,9,0.09802198
1967,9,0.1182821
1968,9,0.09871331
1969,9,0.0774507
1970,9,0.1139589
1971,9,0.1612034
1972,9,0.1814523
1973,9,0.2112374
1974,9,0.19107
1975,9,0.1169857
1976,9,0.09775889
1977,9,0.1893412
1978,9,0.1847244
1979,9,0.1170706
1980,9,0.120966
1981,9,0.1382691
1982,9,0.1602296
1983,9,0.1298369
1984,9,0.1236142
1985,9,0.1035925
1986,9,0.1240799
1987,9,0.1019252
1988,9,0.1455915
1989,9,0.123188
1990,9,0.0819162
1991,9,0.133608
1992,9,0.1798098
1993,9,0.1248278
1994,9,0.1151117
1995,9,0.1000885
1996,9,0.113123
1997,9,0.1245395
1998,9,0.1927856
1999,9,0.1256698
2000,9,0.1372572
2001,9,0.1981133
2002,9,0.3205318
2003,9,0.3275316
2004,9,0.2661608
2005,9,0.291145
2006,9,0.2700243
2007,9,0.2407719
2008,9,0.1899838
2009,9,0.2581466
2010,9,0.4223589
2011,9,0.3267822
2012,9,0.289761
2013,9,0.3264246
2014,9,0.3794774
2015,9,0.4396878
2016,9,0.3413141
2017,9,0.3107451
2018,9,0.4056377
2019,9,0.3967049
2020,9,0.373649
2021,9,0.3628094
2022,9,0.4606009
1954,10,0.001359147
1955,10,0.006430345
1956,10,0.004817784
1957,10,0.0102122
1958,10,0.01396421
1959,10,0.02307203
1960,10,0.02567545
1961,10,0.02511741
1962,10,0.0301395
1963,10,0.04103347
1964,10,0.03997608
1965,10,0.05257617
1966,10,0.09011391
1967,10,0.1080296
1968,10,0.08975404
1969,10,0.0701565
1970,10,0.105052
1971,10,0.1451871
1972,10,0.1565255
1973,10,0.1931187
1974,10,0.1777358
1975,10,0.1073946
1976,10,0.08923769
1977,10,0.179506
1978,10,0.1660542
1979,10,0.1096926
1980,10,0.1118459
1981,10,0.126669
1982,10,0.1445502
1983,10,0.1178328
1984,10,0.1174662
1985,10,0.0970397
1986,10,0.1143597
1987,10,0.09236766
1988,10,0.1320085
1989,10,0.1104382
1990,10,0.07394123
1991,10,0.1203809
1992,10,0.169149
1993,10,0.1168398
1994,10,0.10507
1995,10,0.09268844
1996,10,0.1026535
1997,10,0.1134904
1998,10,0.1703172
1999,10,0.1164131
2000,10,0.1221434
2001,10,0.1757829
2002,10,0.2860557
2003,10,0.2970542
2004,10,0.2437118
2005,10,0.2594507
2006,10,0.2439319
2007,10,0.2292398
2008,10,0.1724001
2009,10,0.2298319
2010,10,0.373144
2011,10,0.2951543
2012,10,0.2590585
2013,10,0.2881447
2014,10,0.3245871
2015,10,0.3705165
2016,10,0.301706
2017,10,0.2719941
2018,10,0.348973
2019,10,0.339059
2020,10,0.3345138
2021,10,0.3107208
2022,10,0.3803466
1954,11,0.001197026
1955,11,0.006058875
1956,11,0.004586434
1957,11,0.009864721
1958,11,0.01340419
1959,11,0.02219881
1960,11,0.02459077
1961,11,0.02407864
1962,11,0.02835126
1963,11,0.0390669
1964,11,0.0369153
1965,11,0.0488799
1966,11,0.08570812
1967,11,0.1024929
1968,11,0.08512923
1969,11,0.06622838
1970,11,0.09969213
1971,11,0.1370606
1972,11,0.144717
1973,11,0.1826702
1974,11,0.168428
1975,11,0.1015639
1976,11,0.0847354
1977,11,0.1731677
1978,11,0.1563374
1979,11,0.1048332
1980,11,0.1060719
1981,11,0.1196766
1982,11,0.1365942
