year,age,n
2023,14,0.853362
1995,15,1.905907
1996,15,1.847613
1997,15,1.941728
1998,15,1.977863
1999,15,1.931367
2000,15,1.701493
2001,15,1.624639
2002,15,1.527784
2003,15,1.364582
2004,15,1.222701
2005,15,0.929857
2006,15,0.813721
2007,15,0.713714
2008,15,0.680405
2009,15,0.619724
2010,15,0.48259
2011,15,0.432601
2012,15,0.459223
2013,15,0.431751
2014,15,0.414919
2015,15,0.358045
2016,15,0.352209
2017,15,0.352613
2018,15,0.375345
2019,15,0.422043
2020,15,0.409244
2021,15,0.470655
2022,15,0.519966
2023,15,0.615933
1995,16,1.398307
1996,16,1.358495
1997,16,1.424813
1998,16,1.449408
1999,16,1.416099
2000,16,1.254429
2001,16,1.201229
2002,16,1.133751
2003,16,1.019257
2004,16,0.91924
2005,16,0.726592
2006,16,0.624107
2007,16,0.543485
2008,16,0.506926
2009,16,0.448174
2010,16,0.414563
2011,16,0.314201
2012,16,0.307164
2013,16,0.298591
2014,16,0.295567
2015,16,0.278542
2016,16,0.251398
2017,16,0.252335
2018,16,0.271332
2019,16,0.288534
2020,16,0.312427
2021,16,0.314212
2022,16,0.35373
2023,16,0.394353
1995,17,1.032762
1996,17,1.005114
1997,17,1.052513
1998,17,1.06957
1999,17,1.045496
2000,17,0.930312
2001,17,0.893099
2002,17,0.84565
2003,17,0.76457
2004,17,0.693795
2005,17,0.554731
2006,17,0.492734
2007,17,0.421369
2008,17,0.389213
2009,17,0.337703
2010,17,0.303081
2011,17,0.273094
2012,17,0.224819
2013,17,0.202041
2014,17,0.206301
2015,17,0.2004103
2016,17,0.1971581
2017,17,0.1814148
2018,17,0.1949106
2019,17,0.209433
2020,17,0.21475
2021,17,0.2409
2022,17,0.237457
2023,17,0.269452
1995,18,0.766811
1996,18,0.747321
1997,18,0.781589
1998,18,0.793601
1999,18,0.776058
2000,18,0.69307
2001,18,0.666766
2002,18,0.633102
2003,18,0.57516
2004,18,0.524734
2005,18,0.423811
2006,18,0.379265
2007,18,0.335526
2008,18,0.303733
2009,18,0.261617
2010,18,0.230348
2011,18,0.201513
2012,18,0.196594
2013,18,0.1492334
2014,18,0.1406103
2015,18,0.1409888
2016,18,0.1427576
2017,18,0.1430836
2018,18,0.1405448
2019,18,0.1509267
2020,18,0.1565357
2021,18,0.1661369
2022,18,0.1828434
2023,18,0.1814978
1995,19,0.571714
1996,19,0.557794
1997,19,0.582798
1998,19,0.591362
1999,19,0.578484
2000,19,0.518124
2001,19,0.499341
2002,19,0.475245
2003,19,0.433495
2004,19,0.397306
2005,19,0.323626
2006,19,0.291618
2007,19,0.260002
2008,19,0.243097
2009,19,0.205602
2010,19,0.1796607
2011,19,0.1542737
2012,19,0.1457544
2013,19,0.1314353
2014,19,0.1044505
2015,19,0.0966892
2016,19,0.1009289
2017,19,0.1040638
2018,19,0.1111012
2019,19,0.1090989
2020,19,0.1131763
2021,19,0.1214133
2022,19,0.126526
2023,19,0.140123
1995,20,0.427649
1996,20,0.4176
1997,20,0.435976
1998,20,0.442143
1999,20,0.432628
2000,20,0.388383
2001,20,0.374839
2002,20,0.357443
2003,20,0.327128
2004,20,0.300979
2005,20,0.246892
2006,20,0.223806
2007,20,0.200976
