year,age,f
1969,1,0.00383430790560446
1970,1,0.00402881182649518
1971,1,0.00612225496572293
1972,1,0.00599883006282296
1973,1,0.00527097907433594
1974,1,0.00710018252321859
1975,1,0.00500195129967898
1976,1,0.00805807743659944
1977,1,0.00296949039098265
1978,1,0.00400677896264099
1979,1,0.00681040682720328
1980,1,0.0078271337280165
1981,1,0.0089198235482302
1982,1,0.0082306956890504
1983,1,0.00547441238538356
1984,1,0.00701124876838389
1985,1,0.00923629863505506
1986,1,0.00764057814956933
1987,1,0.00799796675090687
1988,1,0.0124848391946343
1989,1,0.00996659859022311
1990,1,0.00907124970418557
1991,1,0.007401458848872
1992,1,0.00900673543021935
1993,1,0.00767418664201579
1994,1,0.0108200220334687
1995,1,0.00808298861044269
1996,1,0.0114718475401301
1997,1,0.0156438752927632
1998,1,0.0218376115803512
1999,1,0.0253499713545491
2000,1,0.0268417581762223
2001,1,0.0330718966040504
2002,1,0.0397668508799743
2003,1,0.0347368293209159
2004,1,0.0432211619542512
2005,1,0.0307654445798531
2006,1,0.0399098822433415
2007,1,0.035689069761677
2008,1,0.0374095939829619
2009,1,0.0375712228587072
2010,1,0.028936808969396
2011,1,0.0397357828983076
2012,1,0.038922167253056
2013,1,0.0397451745743761
2014,1,0.0460444746699068
2015,1,0.0495908954460202
2016,1,0.0459255361139607
2017,1,0.0486577632038485
2018,1,0.0558079406002034
2019,1,0.0441515431258093
2020,1,0.0304696868871271
2021,1,0.0303817041345402
2022,1,0.0340706637783944
2023,1,0.0341281078697422
1952,2,0.000143036231376967
1953,2,0.000335194167623182
1954,2,0.00202492816591468
1955,2,0.002880094961116
1956,2,0.00236618611915308
1957,2,0.00196902026461331
1958,2,0.00341124059740363
1959,2,0.00385200643821131
1960,2,0.00257218848157228
1961,2,0.00451568962303532
1962,2,0.00416533724543526
1963,2,0.00630139675300875
1964,2,0.00315692078786487
1965,2,0.00740385659741058
1966,2,0.00847747961776556
1967,2,0.00697110594840263
1968,2,0.00976454849515228
1969,2,0.00750942386132526
1970,2,0.00710408193723659
1971,2,0.011458328513392
1972,2,0.0115238594483304
1973,2,0.0100124943190647
1974,2,0.0127433096630339
1975,2,0.0088364718269094
1976,2,0.014222799418009
1977,2,0.00554908938368422
1978,2,0.00687404950184362
1979,2,0.0123470715901789
1980,2,0.0138794237172289
1981,2,0.0168497947188277
1982,2,0.0158143425875898
1983,2,0.0105142392841976
1984,2,0.0123532074067644
1985,2,0.0160405611991868
1986,2,0.0149210708719068
1987,2,0.0150771993116378
1988,2,0.0232653724348135
1989,2,0.0182020909123706
1990,2,0.0159957728763065
1991,2,0.0133729168838654
1992,2,0.0163236325283928
1993,2,0.013671676080407
1994,2,0.0194158962726523
1995,2,0.0140029436136319
1996,2,0.0203940686650984
1997,2,0.0281170801282571
1998,2,0.0384109008980477
1999,2,0.0443086224425966
2000,2,0.0501573695055603
2001,2,0.0609639778055271
2002,2,0.0699425677048699
2003,2,0.0667854392475069
2004,2,0.0794868174006216
2005,2,0.0604108141496794
2006,2,0.0795334151697565
2007,2,0.0780656134442447
2008,2,0.0724374517993382
2009,2,0.0664669641538207
2010,2,0.0538845465337497
2011,2,0.0707730209370426
2012,2,0.0718984049108159
2013,2,0.0714110811673691
2014,2,0.0812234152852231
2015,2,0.0870876367134384
2016,2,0.0777541897943362
2017,2,0.081635058255705
2018,2,0.0969741538380023
2019,2,0.0773342610329197
2020,2,0.0591327125751389
2021,2,0.057757618737503
2022,2,0.0608461556183061
2023,2,0.065491703276781
1952,3,0.000159640060752955
1953,3,0.000385519074250191
1954,3,0.00232671834919074
1955,3,0.00357442733033609
1956,3,0.00289471631496704
1957,3,0.0021948954056368
1958,3,0.00395031070015045
1959,3,0.00466933583772131
1960,3,0.00312305865816081
1961,3,0.00543760565529436
1962,3,0.00479075305485296
1963,3,0.00717659733129358
1964,3,0.00364190222307378
1965,3,0.00833309227003204
1966,3,0.0098435505644293
1967,3,0.00823622529363819
1968,3,0.0112923483783875
1969,3,0.00916044450892951
1970,3,0.00832185664944177
1971,3,0.0139854154018623
1972,3,0.0140651965746599
1973,3,0.0118271627802572
1974,3,0.0149312865246771
1975,3,0.0101920924777673
1976,3,0.0165548182563706
1977,3,0.00661406596349234
1978,3,0.00768459014486054
1979,3,0.0144673353649574
1980,3,0.0161121864626384
1981,3,0.0204093829870541
1982,3,0.0192410990937293
1983,3,0.0126317174426569
1984,3,0.0143670710731747
1985,3,0.0182378071267951
1986,3,0.0182043736359994
1987,3,0.0181418459817114
1988,3,0.0273207121034059
1989,3,0.0210740754647354
1990,3,0.0184714173477228
1991,3,0.015486868003332
1992,3,0.0188603023397523
1993,3,0.015347863039779
