year,age,f
1970,6,0.0178179715
1971,6,0.01951147225
1972,6,0.0271675285
1973,6,0.02293531975
1974,6,0.02539772125
1975,6,0.0329085045
1976,6,0.0332045305
1977,6,0.03411377675
1978,6,0.02861308175
1979,6,0.037087278
1980,6,0.035540493
1981,6,0.02973988275
1982,6,0.03527857075
1983,6,0.03180442825
1984,6,0.03373980225
1985,6,0.03981803025
1986,6,0.0296611275
1987,6,0.04322175675
1988,6,0.03855181975
1989,6,0.041367125
1990,6,0.0488674075
1991,6,0.03541564
1992,6,0.0476149655
1993,6,0.04750117525
1994,6,0.06366797775
1995,6,0.05994681275
1996,6,0.0496575905
1997,6,0.059345975
1998,6,0.0778864875
1999,6,0.0698264125
2000,6,0.068288405
2001,6,0.0815575875
2002,6,0.0946780025
2003,6,0.0835289375
2004,6,0.0981013325
2005,6,0.07667128
2006,6,0.0866905175
2007,6,0.074912605
2008,6,0.08344602
2009,6,0.09474755
2010,6,0.0822283925
2011,6,0.086761955
2012,6,0.09342914
2013,6,0.09135562
2014,6,0.11271883
2015,6,0.090591195
2016,6,0.073509395
2017,6,0.0610545
2018,6,0.08383385
2019,6,0.0862110275
2020,6,0.0693602875
2021,6,0.062567575
1952,7,0.007587311725
1953,7,0.007337876475
1954,7,0.004802525925
1955,7,0.007383084175
1956,7,0.007674647725
1957,7,0.00978918425
1958,7,0.0152264635
1959,7,0.0149251245
1960,7,0.014900183
1961,7,0.01607825375
1962,7,0.0154815835
1963,7,0.02033574325
1964,7,0.0160210215
1965,7,0.0158514885
1966,7,0.01772989575
1967,7,0.01880868075
1968,7,0.0166579745
1969,7,0.019428337
1970,7,0.01646722675
1971,7,0.01742067975
1972,7,0.02479981475
1973,7,0.02058167175
1974,7,0.02313887425
1975,7,0.03003427475
1976,7,0.0296677285
1977,7,0.03123053525
1978,7,0.026989867
1979,7,0.0338599935
1980,7,0.032522243
1981,7,0.0272867345
1982,7,0.03182706975
1983,7,0.0284838845
1984,7,0.0307692025
1985,7,0.03558132275
1986,7,0.0275331565
1987,7,0.03876520275
1988,7,0.0359662595
1989,7,0.0354586455
1990,7,0.04365234475
1991,7,0.0332478645
1992,7,0.04270388925
1993,7,0.04296480625
1994,7,0.0611943675
1995,7,0.050416707
1996,7,0.04789686275
1997,7,0.052585611
1998,7,0.0708418325
1999,7,0.0649774075
2000,7,0.069466185
2001,7,0.06139591
2002,7,0.0890257125
2003,7,0.0735352775
2004,7,0.09814273
2005,7,0.068506265
2006,7,0.0789224525
2007,7,0.070248115
2008,7,0.070178435
2009,7,0.081176635
2010,7,0.071969325
2011,7,0.078705735
2012,7,0.08477666
2013,7,0.072791625
2014,7,0.10757729
2015,7,0.0867612175
2016,7,0.0664598
2017,7,0.0556778525
2018,7,0.073357055
2019,7,0.0781491325
2020,7,0.0636259975
2021,7,0.05517165
1952,8,0.00731552585
1953,8,0.007104872825
1954,8,0.00455813955
1955,8,0.007064313775
1956,8,0.00736330405
1957,8,0.00945527975
1958,8,0.01473279225
1959,8,0.01443052875
1960,8,0.01519537075
1961,8,0.01562181575
1962,8,0.0149367355
1963,8,0.01956633
1964,8,0.01570970575
1965,8,0.01453863075
1966,8,0.0164380715
1967,8,0.01760043
1968,8,0.01564384025
1969,8,0.01917400075
1970,8,0.0155573065
1971,8,0.0174069275
1972,8,0.02346385225
1973,8,0.01937357725
1974,8,0.02166001675
1975,8,0.02918923625
1976,8,0.028829048
1977,8,0.02946128275
1978,8,0.024363533
1979,8,0.03219443525
1980,8,0.03186623475
1981,8,0.02547718475
1982,8,0.030405713
1983,8,0.02781526125
1984,8,0.02930103225
1985,8,0.034853842
1986,8,0.02682436375
1987,8,0.0381922095
1988,8,0.03423777875
1989,8,0.03496632075
1990,8,0.0396950115
1991,8,0.03203935825
1992,8,0.04282462075
1993,8,0.0402464645
1994,8,0.05698779275
