sex,year,age,n
1,2017,9,1.8724
1,2018,9,2.00113
1,2019,9,2.14782
1,2020,9,2.06729
1,2021,9,2.26162
1,2022,9,2.11036
1,2023,9,2.13962
2,1995,9,7.62395
2,1996,9,7.27059
2,1997,9,7.81903
2,1998,9,8.06576
2,1999,9,7.61798
2,2000,9,6.39645
2,2001,9,6.09334
2,2002,9,5.84859
2,2003,9,5.4174
2,2004,9,4.27419
2,2005,9,3.32716
2,2006,9,3.33454
2,2007,9,3.20579
2,2008,9,3.26903
2,2009,9,2.73736
2,2010,9,2.53747
2,2011,9,2.25049
2,2012,9,2.22979
2,2013,9,2.03313
2,2014,9,1.77486
2,2015,9,1.7066
2,2016,9,1.70832
2,2017,9,1.86297
2,2018,9,1.99373
2,2019,9,2.14167
2,2020,9,2.06129
2,2021,9,2.25536
2,2022,9,2.10381
2,2023,9,2.13294
1,1995,10,5.263
1,1996,10,5.02671
1,1997,10,5.38217
1,1998,10,5.54413
1,1999,10,5.38951
1,2000,10,4.44506
1,2001,10,4.1826
1,2002,10,3.9264
1,2003,10,3.53289
1,2004,10,3.31804
1,2005,10,2.20005
1,2006,10,2.03535
1,2007,10,2.01952
1,2008,10,2.11612
1,2009,10,1.94002
1,2010,10,1.65712
1,2011,10,1.4827
1,2012,10,1.49194
1,2013,10,1.30278
1,2014,10,1.28001
1,2015,10,1.08718
1,2016,10,1.114
1,2017,10,1.14671
1,2018,10,1.38734
1,2019,10,1.47746
1,2020,10,1.50755
1,2021,10,1.52212
1,2022,10,1.61041
1,2023,10,1.53298
2,1995,10,5.22938
2,1996,10,4.99182
2,1997,10,5.34846
2,1998,10,5.51124
2,1999,10,5.35592
2,2000,10,4.4102
2,2001,10,4.14784
2,2002,10,3.89269
2,2003,10,3.49995
2,2004,10,3.28581
2,2005,10,2.17476
2,2006,10,2.01217
2,2007,10,1.99705
2,2008,10,2.0951
2,2009,10,1.92095
2,2010,10,1.6409
2,2011,10,1.46757
2,2012,10,1.4779
2,2013,10,1.28994
2,2014,10,1.26774
2,2015,10,1.07682
2,2016,10,1.10408
2,2017,10,1.13738
2,2018,10,1.37834
2,2019,10,1.4698
2,2020,10,1.50028
2,2021,10,1.51537
2,2022,10,1.6029
2,2023,10,1.52576
1,1995,11,3.6533
1,1996,11,3.49831
1,1997,11,3.72871
1,1998,11,3.83205
1,1999,11,3.73083
1,2000,11,3.1844
1,2001,11,2.9262
1,2002,11,2.71422
1,2003,11,2.39539
1,2004,11,2.18307
1,2005,11,1.73539
1,2006,11,1.35531
1,2007,11,1.24277
1,2008,11,1.33944
1,2009,11,1.26891
1,2010,11,1.18579
1,2011,11,0.978727
1,2012,11,0.987191
1,2013,11,0.881121
1,2014,11,0.825835
1,2015,11,0.79059
1,2016,11,0.713557
1,2017,11,0.751322
1,2018,11,0.854192
1,2019,11,1.03026
1,2020,11,1.04502
1,2021,11,1.11673
1,2022,11,1.09248
1,2023,11,1.17707
2,1995,11,3.62286
2,1996,11,3.46745
2,1997,11,3.69763
2,1998,11,3.80141
2,1999,11,3.70048
2,2000,11,3.15402
2,2001,11,2.89609
2,2002,11,2.68479
2,2003,11,2.36734
2,2004,11,2.15615
2,2005,11,1.71083
2,2006,11,1.33565
2,2007,11,1.22473
2,2008,11,1.32133
2,2009,11,1.25215
2,2010,11,1.1704
2,2011,11,0.965806
2,2012,11,0.974831
2,2013,11,0.869833
2,2014,11,0.815418
2,2015,11,0.780657
2,2016,11,0.705014
2,2017,11,0.742976
2,2018,11,0.846152
2,2019,11,1.02222
2,2020,11,1.0378
2,2021,11,1.10984
2,2022,11,1.08581
2,2023,11,1.1699
1,1995,12,2.56777
1,1996,12,2.46689
1,1997,12,2.61776
1,1998,12,2.68315
1,1999,12,2.61497
1,2000,12,2.25191
1,2001,12,2.12961
1,2002,12,1.93027
1,2003,12,1.6896
1,2004,12,1.50927
1,2005,12,1.17513
1,2006,12,1.08992
1,2007,12,0.844444
1,2008,12,0.837084
1,2009,12,0.820368
1,2010,12,0.791529
1,2011,12,0.715901
1,2012,12,0.661139
1,2013,12,0.59579
1,2014,12,0.568294
1,2015,12,0.519727
1,2016,12,0.526826
1,2017,12,0.487827
1,2018,12,0.563742
1,2019,12,0.639265
1,2020,12,0.736188
1,2021,12,0.780353
1,2022,12,0.809863
1,2023,12,0.805142
2,1995,12,2.54296
2,1996,12,2.44223
2,1997,12,2.59217
2,1998,12,2.6576
2,1999,12,2.59012
2,2000,12,2.22849
2,2001,12,2.10573
2,2002,12,1.90707
2,2003,12,1.66766
2,2004,12,1.48849
2,2005,12,1.15708
2,2006,12,1.07225
2,2007,12,0.830393
2,2008,12,0.823562
2,2009,12,0.80744
2,2010,12,0.779375
2,2011,12,0.704941
2,2012,12,0.651365
2,2013,12,0.586948
2,2014,12,0.559943
2,2015,12,0.512114
2,2016,12,0.519327
2,2017,12,0.481255
2,2018,12,0.556986
2,2019,12,0.632674
2,2020,12,0.729575
2,2021,12,0.774238
2,2022,12,0.803937
2,2023,12,0.799437
1,1995,13,1.82791
1,1996,13,1.76194
1,1997,13,1.86253
1,1998,13,1.90434
1,1999,13,1.85726
1,2000,13,1.61309
1,2001,13,1.53039
1,2002,13,1.42846
1,2003,13,1.22655
1,2004,13,1.0859
1,2005,13,0.836625
1,2006,13,0.752738
1,2007,13,0.693237
1,2008,13,0.577815
1,2009,13,0.523877
1,2010,13,0.522462
1,2011,13,0.488701
1,2012,13,0.490811
1,2013,13,0.407936
1,2014,13,0.391128
1,2015,13,0.364572
1,2016,13,0.351752
1,2017,13,0.365214
1,2018,13,0.368791
1,2019,13,0.425273
1,2020,13,0.461623
1,2021,13,0.554301
1,2022,13,0.571954
1,2023,13,0.601968
2,1995,13,1.80921
2,1996,13,1.74366
2,1997,13,1.84315
2,1998,13,1.88475
2,1999,13,1.83837
2,2000,13,1.59618
2,2001,13,1.51338
2,2002,13,1.41137
2,2003,13,1.21067
2,2004,13,1.07084
2,2005,13,0.824017
2,2006,13,0.740506
2,2007,13,0.681365
2,2008,13,0.567794
2,2009,13,0.514911
2,2010,13,0.513747
2,2011,13,0.480707
2,2012,13,0.482963
2,2013,13,0.401498
2,2014,13,0.385005
2,2015,13,0.358895
2,2016,13,0.346346
2,2017,13,0.359779
2,2018,13,0.363682
2,2019,13,0.420011
2,2020,13,0.456627
2,2021,13,0.5491
2,2022,13,0.567188
2,2023,13,0.597308
1,1995,14,1.31639
1,1996,14,1.27272
1,1997,14,1.34115
1,1998,14,1.36843
1,1999,14,1.33539
1,2000,14,1.16858
1,2001,14,1.1124
1,2002,14,1.04225
1,2003,14,0.924816
1,2004,14,0.802657
1,2005,14,0.618228
1,2006,14,0.545605
1,2007,14,0.487844
1,2008,14,0.481196
1,2009,14,0.36879
1,2010,14,0.339994
1,2011,14,0.329219
1,2012,14,0.339591
1,2013,14,0.308997
1,2014,14,0.272152
1,2015,14,0.255332
1,2016,14,0.250255
1,2017,14,0.246954
1,2018,14,0.27799
1,2019,14,0.280233
1,2020,14,0.310048
1,2021,14,0.350197
1,2022,14,0.410211
1,2023,14,0.428444
2,1995,14,1.30312
2,1996,14,1.25994
2,1997,14,1.32738
2,1998,14,1.35437
2,1999,14,1.32188
2,2000,14,1.157
2,2001,14,1.10096
2,2002,14,1.03086
2,2003,14,0.913981
2,2004,14,0.792458
2,2005,14,0.609872
2,2006,14,0.53751
2,2007,14,0.480036
2,2008,14,0.473044
2,2009,14,0.362488
2,2010,14,0.334258
2,2011,14,0.323815
2,2012,14,0.334096
2,2013,14,0.304137
2,2014,14,0.267914
2,2015,14,0.251394
2,2016,14,0.246404
2,2017,14,0.243199
2,2018,14,0.273878
2,2019,14,0.276377
2,2020,14,0.306251
2,2021,14,0.346441
2,2022,14,0.406414
2,2023,14,0.424918
1,1995,15,0.957423
1,1996,15,0.92805
1,1997,15,0.975502
1,1998,15,0.993707
1,1999,15,0.97026
1,2000,15,0.854526
1,2001,15,0.81598
1,2002,15,0.767465
1,2003,15,0.685622
1,2004,15,0.614595
1,2005,15,0.467498
1,2006,15,0.40939
1,2007,15,0.359306
1,2008,15,0.342788
1,2009,15,0.312311
1,2010,15,0.243226
1,2011,15,0.217996
1,2012,15,0.231409
1,2013,15,0.217494
1,2014,15,0.208993
1,2015,15,0.180324
1,2016,15,0.17739
1,2017,15,0.177599
1,2018,15,0.189065
1,2019,15,0.212541
1,2020,15,0.205972
1,2021,15,0.236717
1,2022,15,0.261301
1,2023,15,0.309316
2,1995,15,0.948484
2,1996,15,0.919563
2,1997,15,0.966226
2,1998,15,0.984156
2,1999,15,0.961107
2,2000,15,0.846967
2,2001,15,0.808659
2,2002,15,0.760319
2,2003,15,0.67896
2,2004,15,0.608106
2,2005,15,0.462359
2,2006,15,0.404331
2,2007,15,0.354408
2,2008,15,0.337617
2,2009,15,0.307413
2,2010,15,0.239364
2,2011,15,0.214605
2,2012,15,0.227814
2,2013,15,0.214257
2,2014,15,0.205926
2,2015,15,0.177721
2,2016,15,0.174819
2,2017,15,0.175014
2,2018,15,0.18628
2,2019,15,0.209502
2,2020,15,0.203272
2,2021,15,0.233938
2,2022,15,0.258665
2,2023,15,0.306617
1,1995,16,0.702015
1,1996,16,0.681924
1,1997,16,0.715375
1,1998,16,0.727783
1,1999,16,0.71099
1,2000,16,0.629548
1,2001,16,0.60283
1,2002,16,0.568987
1,2003,16,0.51152
1,2004,16,0.461437
1,2005,16,0.364725
1,2006,16,0.313488
1,2007,16,0.273169
1,2008,16,0.255015
1,2009,16,0.225563
1,2010,16,0.208718
1,2011,16,0.158192
1,2012,16,0.154677
1,2013,16,0.150308
1,2014,16,0.148766
1,2015,16,0.140173
1,2016,16,0.126519
1,2017,16,0.127004
1,2018,16,0.136608
1,2019,16,0.14528
1,2020,16,0.157257
1,2021,16,0.158079
1,2022,16,0.177819
1,2023,16,0.198092
2,1995,16,0.696292
2,1996,16,0.676571
2,1997,16,0.709438
2,1998,16,0.721625
2,1999,16,0.705109
2,2000,16,0.624881
2,2001,16,0.598399
2,2002,16,0.564764
2,2003,16,0.507737
2,2004,16,0.457803
2,2005,16,0.361867
2,2006,16,0.310619
2,2007,16,0.270316
2,2008,16,0.251911
2,2009,16,0.222611
2,2010,16,0.205845
2,2011,16,0.156009
2,2012,16,0.152487
2,2013,16,0.148283
2,2014,16,0.146801
2,2015,16,0.138369
2,2016,16,0.124879
2,2017,16,0.125331
2,2018,16,0.134724
2,2019,16,0.143254
2,2020,16,0.15517
2,2021,16,0.156133
2,2022,16,0.175911
2,2023,16,0.196261
1,1995,17,0.51811
1,1996,17,0.504144
1,1997,17,0.52805
1,1998,17,0.536661
1,1999,17,0.524529
1,2000,17,0.466497
1,2001,17,0.447791
1,2002,17,0.423972
1,2003,17,0.383249
1,2004,17,0.347783
1,2005,17,0.277987
1,2006,17,0.24705
1,2007,17,0.211399
1,2008,17,0.195448
1,2009,17,0.169672
1,2010,17,0.152355
1,2011,17,0.137314
1,2012,17,0.113091
1,2013,17,0.101609
1,2014,17,0.103741
1,2015,17,0.100757
1,2016,17,0.0991256
1,2017,17,0.091223
1,2018,17,0.0980547
1,2019,17,0.105392
1,2020,17,0.108059
1,2021,17,0.121193
1,2022,17,0.119388
1,2023,17,0.135381
2,1995,17,0.514652
2,1996,17,0.50097
2,1997,17,0.524463
2,1998,17,0.532909
2,1999,17,0.520967
2,2000,17,0.463815
2,2001,17,0.445308
2,2002,17,0.421678
2,2003,17,0.381321
2,2004,17,0.346012
2,2005,17,0.276744
2,2006,17,0.245684
2,2007,17,0.20997
2,2008,17,0.193765
2,2009,17,0.168031
2,2010,17,0.150726
2,2011,17,0.13578
2,2012,17,0.111728
2,2013,17,0.100432
2,2014,17,0.10256
2,2015,17,0.0996533
2,2016,17,0.0980325
2,2017,17,0.0901918
2,2018,17,0.0968559
2,2019,17,0.104041
2,2020,17,0.106691
2,2021,17,0.119707
2,2022,17,0.118069
2,2023,17,0.134071
1,1995,18,0.38437
1,1996,18,0.374521
1,1997,18,0.391796
1,1998,18,0.397861
1,1999,18,0.389025
1,2000,18,0.347224
1,2001,18,0.333994
1,2002,18,0.317086
1,2003,18,0.287974
1,2004,18,0.262689
1,2005,18,0.212041
1,2006,18,0.189812
1,2007,18,0.168002
1,2008,18,0.152225
1,2009,18,0.13119
1,2010,18,0.115578
1,2011,18,0.10115
1,2012,18,0.0987518
1,2013,18,0.0749603
1,2014,18,0.0706318
1,2015,18,0.0708082
