year,season,area,age,n
2009,1,1,1,33625100
2009,1,1,2,2967780
2009,1,1,3,727422
2009,1,1,4,288295
2009,1,1,5,1746720
2009,1,1,6,192575
2009,1,1,7,461238
2009,1,1,8,313742
2009,1,1,9,317895
2009,1,1,10,374701
2009,1,1,11,103191
2009,1,1,12,49587.4
2009,1,1,13,102643
2009,1,1,14,134719
2009,1,1,15,29537.8
2009,1,1,16,174966
2010,1,1,1,98415.6
2010,1,1,2,1616530
2010,1,1,3,1056320
2010,1,1,4,420512
2010,1,1,5,824682
2010,1,1,6,263909
2010,1,1,7,211055
2010,1,1,8,100836
2010,1,1,9,457230
2010,1,1,10,64068.1
2010,1,1,11,200557
2010,1,1,12,112996
2010,1,1,13,101466
2010,1,1,14,119737
2010,1,1,15,38050.3
2010,1,1,16,156982
2011,1,1,1,46602.6
2011,1,1,2,963158
2011,1,1,3,839940
2011,1,1,4,634565
2011,1,1,5,820483
2011,1,1,6,1061420
2011,1,1,7,407504
2011,1,1,8,194152
2011,1,1,9,292188
2011,1,1,10,109007
2011,1,1,11,79145.1
2011,1,1,12,37443.9
2011,1,1,13,125727
2011,1,1,14,21770
2011,1,1,15,75957.2
2011,1,1,16,182031
2012,1,1,1,1945720
2012,1,1,2,1692860
2012,1,1,3,531367
2012,1,1,4,525372
2012,1,1,5,1153740
2012,1,1,6,512339
2012,1,1,7,493218
2012,1,1,8,324546
2012,1,1,9,281027
2012,1,1,10,377030
2012,1,1,11,201338
2012,1,1,12,80929.7
2012,1,1,13,95123.1
2012,1,1,14,41609.4
2012,1,1,15,27660.9
2012,1,1,16,147415
2013,1,1,1,792284
2013,1,1,2,2602990
2013,1,1,3,1036170
2013,1,1,4,745025
2013,1,1,5,718275
2013,1,1,6,543034
2013,1,1,7,186512
2013,1,1,8,118166
2013,1,1,9,292169
2013,1,1,10,196469
2013,1,1,11,212455
2013,1,1,12,125034
2013,1,1,13,86213.6
2013,1,1,14,106791
2013,1,1,15,77524.7
2013,1,1,16,129408
2014,1,1,1,23925200
2014,1,1,2,772594
2014,1,1,3,1073150
2014,1,1,4,283148
2014,1,1,5,406360
2014,1,1,6,1877410
2014,1,1,7,350256
2014,1,1,8,389792
2014,1,1,9,334902
2014,1,1,10,197980
2014,1,1,11,71454.2
2014,1,1,12,35779.3
2014,1,1,13,81254.1
2014,1,1,14,68800.2
2014,1,1,15,80677.8
2014,1,1,16,179776
2015,1,1,1,2301710
2015,1,1,2,738957
2015,1,1,3,1289180
2015,1,1,4,341377
2015,1,1,5,686218
2015,1,1,6,753361
2015,1,1,7,351652
2015,1,1,8,125551
2015,1,1,9,186860
2015,1,1,10,607253
2015,1,1,11,144420
2015,1,1,12,156158
2015,1,1,13,122637
2015,1,1,14,61853
2015,1,1,15,24598
2015,1,1,16,147138
2016,1,1,1,5339780
2016,1,1,2,343104
2016,1,1,3,890351
2016,1,1,4,369865
2016,1,1,5,703078
2016,1,1,6,432155
2016,1,1,7,276729
2016,1,1,8,127469
2016,1,1,9,256654
2016,1,1,10,297382
2016,1,1,11,160708
2016,1,1,12,47272.4
2016,1,1,13,67793.8
2016,1,1,14,159825
2016,1,1,15,51233.6
2016,1,1,16,167697
2017,1,1,1,20953300
2017,1,1,2,1310150
2017,1,1,3,806917
2017,1,1,4,450647
2017,1,1,5,748672
2017,1,1,6,169966
2017,1,1,7,300497
2017,1,1,8,208984
2017,1,1,9,339654
2017,1,1,10,242246
2017,1,1,11,119235
2017,1,1,12,53542.3
2017,1,1,13,93782.9
2017,1,1,14,103727
2017,1,1,15,62739.6
2017,1,1,16,160555
2018,1,1,1,11286.3
2018,1,1,2,5827460
2018,1,1,3,840204
2018,1,1,4,620319
2018,1,1,5,725533
2018,1,1,6,202834
2018,1,1,7,285935
2018,1,1,8,237831
2018,1,1,9,228455
2018,1,1,10,76417.8
2018,1,1,11,140292
2018,1,1,12,87395
2018,1,1,13,123231
2018,1,1,14,94345
2018,1,1,15,44677.5
2018,1,1,16,160689
2019,1,1,1,71975.3
2019,1,1,2,976390
2019,1,1,3,826459
2019,1,1,4,517084
2019,1,1,5,952231
2019,1,1,6,757622
2019,1,1,7,463296
2019,1,1,8,209412
2019,1,1,9,152147
2019,1,1,10,100691
2019,1,1,11,111022
2019,1,1,12,100260
2019,1,1,13,81685.8
2019,1,1,14,30576.6
2019,1,1,15,56424.8
2019,1,1,16,187198
2020,1,1,1,606740
2020,1,1,2,178607
2020,1,1,3,44943.2
2020,1,1,4,665638
2020,1,1,5,690858
2020,1,1,6,1774110
2020,1,1,7,297330
2020,1,1,8,206763
2020,1,1,9,281309
2020,1,1,10,274733
2020,1,1,11,179738
2020,1,1,12,74067.3
2020,1,1,13,44902.3
2020,1,1,14,40205.9
2020,1,1,15,39796.4
2020,1,1,16,164017
2021,1,1,1,1303.96
2021,1,1,2,418465
2021,1,1,3,886676
2021,1,1,4,219362
2021,1,1,5,207837
2021,1,1,6,126456
2021,1,1,7,214506
2021,1,1,8,312518
2021,1,1,9,346663
2021,1,1,10,594839
2021,1,1,11,128983
2021,1,1,12,70217.6
2021,1,1,13,88452.6
2021,1,1,14,93151
2021,1,1,15,60844.4
2021,1,1,16,121370
2022,1,1,1,471444
2022,1,1,2,346118
2022,1,1,3,140649
2022,1,1,4,68747.3
2022,1,1,5,332058
2022,1,1,6,1978620
2022,1,1,7,223781
2022,1,1,8,94634.6
2022,1,1,9,93061.8
2022,1,1,10,47009.6
2022,1,1,11,101843
2022,1,1,12,113758
2022,1,1,13,124711
2022,1,1,14,166483
2022,1,1,15,46536.9
2022,1,1,16,137599
2023,1,1,1,471444
2023,1,1,2,468396
2023,1,1,3,326355
2023,1,1,4,147923
2023,1,1,5,200670
2023,1,1,6,457824
2023,1,1,7,236627
2023,1,1,8,33761.9
2023,1,1,9,132535
2023,1,1,10,830382
2023,1,1,11,104020
2023,1,1,12,40440.2
2023,1,1,13,36040.5
2023,1,1,14,16185.7
2023,1,1,15,39024.3
2023,1,1,16,195513
2024,1,1,1,471444
2024,1,1,2,498782
2024,1,1,3,534641
2024,1,1,4,234203
2024,1,1,5,285992
2024,1,1,6,2158100
2024,1,1,7,287212
2024,1,1,8,181136
2024,1,1,9,140511
2024,1,1,10,238444
2024,1,1,11,145900
2024,1,1,12,16359.9
2024,1,1,13,49843.2
2024,1,1,14,322500
2024,1,1,15,47459.9
2024,1,1,16,132010
1972,2,1,1,4551830
1972,2,1,2,31990800
1972,2,1,3,645671
1972,2,1,4,1348710
1972,2,1,5,1971440
1972,2,1,6,4684280
1972,2,1,7,924411
1972,2,1,8,474900
1972,2,1,9,593926
1972,2,1,10,1258670
1972,2,1,11,358821
1972,2,1,12,176869
1972,2,1,13,178945
1972,2,1,14,329563
1972,2,1,15,139074
1972,2,1,16,82961.9
1973,2,1,1,817497
1973,2,1,2,8358530
1973,2,1,3,947745
1973,2,1,4,532815
1973,2,1,5,704430
1973,2,1,6,1793860
1973,2,1,7,340116
1973,2,1,8,208628
1973,2,1,9,269330
1973,2,1,10,569296
1973,2,1,11,155337
1973,2,1,12,81010.3
1973,2,1,13,83582.3
1973,2,1,14,152937
1973,2,1,15,61343.3
1973,2,1,16,141888
1974,2,1,1,192367
1974,2,1,2,1291310
1974,2,1,3,664844
1974,2,1,4,1044400
1974,2,1,5,544281
1974,2,1,6,1496190
1974,2,1,7,347806
1974,2,1,8,181919
1974,2,1,9,220470
1974,2,1,10,462729
1974,2,1,11,131148
1974,2,1,12,70665.5
1974,2,1,13,71904.5
1974,2,1,14,128413
1974,2,1,15,53784.6
1974,2,1,16,152304
1975,2,1,1,439608
1975,2,1,2,1703070
1975,2,1,3,2307990
1975,2,1,4,1410920
1975,2,1,5,45785.1
1975,2,1,6,1755050
1975,2,1,7,544839
1975,2,1,8,460015
1975,2,1,9,272101
1975,2,1,10,440311
1975,2,1,11,137493
1975,2,1,12,70838.4
1975,2,1,13,69345.4
1975,2,1,14,124609
1975,2,1,15,53018.1
1975,2,1,16,158706
1976,2,1,1,552588
1976,2,1,2,18342900
1976,2,1,3,936830
1976,2,1,4,2646800
1976,2,1,5,249913
1976,2,1,6,1475970
1976,2,1,7,236293
1976,2,1,8,131036
1976,2,1,9,19339.6
1976,2,1,10,502037
1976,2,1,11,225705
1976,2,1,12,189954
1976,2,1,13,116256
1976,2,1,14,121164
1976,2,1,15,54412.3
1976,2,1,16,163133
1977,2,1,1,373425
1977,2,1,2,26465400
1977,2,1,3,156148
1977,2,1,4,327016
1977,2,1,5,679404
1977,2,1,6,919856
1977,2,1,7,410161
1977,2,1,8,474586
1977,2,1,9,102679
1977,2,1,10,411346
1977,2,1,11,86271.1
1977,2,1,12,31815.3
1977,2,1,13,8580.05
1977,2,1,14,126641
1977,2,1,15,85125.6
1977,2,1,16,227082
1978,2,1,1,23815.5
1978,2,1,2,31293400
1978,2,1,3,192161
1978,2,1,4,971790
1978,2,1,5,212172
1978,2,1,6,997890
1978,2,1,7,405365
1978,2,1,8,59814.9
1978,2,1,9,179892
1978,2,1,10,158384
1978,2,1,11,151192
1978,2,1,12,175698
1978,2,1,13,38525.5
1978,2,1,14,110284
1978,2,1,15,32361.6
1978,2,1,16,157005
1979,2,1,1,29171700
1979,2,1,2,5556090
1979,2,1,3,710218
1979,2,1,4,999801
1979,2,1,5,253725
1979,2,1,6,1374530
1979,2,1,7,800141
1979,2,1,8,151100
1979,2,1,9,68281
1979,2,1,10,208965
1979,2,1,11,172161
1979,2,1,12,23788.8
1979,2,1,13,49897
1979,2,1,14,45384.7
1979,2,1,15,56437
1979,2,1,16,187584
1980,2,1,1,1109150
1980,2,1,2,23410200
1980,2,1,3,814272
1980,2,1,4,196868
1980,2,1,5,354643
1980,2,1,6,914741
1980,2,1,7,539810
1980,2,1,8,270064
1980,2,1,9,57085.6
1980,2,1,10,310595
1980,2,1,11,299846
1980,2,1,12,47111.6
1980,2,1,13,19892
1980,2,1,14,52736.7
1980,2,1,15,62335.4
1980,2,1,16,130062
1981,2,1,1,741095
1981,2,1,2,16145300
1981,2,1,3,183611
1981,2,1,4,77442.3
1981,2,1,5,585509
1981,2,1,6,783097
1981,2,1,7,459683
1981,2,1,8,74653.2
1981,2,1,9,49720.4
1981,2,1,10,170065
1981,2,1,11,208747
1981,2,1,12,110088
1981,2,1,13,16975.9
1981,2,1,14,79024
1981,2,1,15,95539.2
1981,2,1,16,104145
1982,2,1,1,1307150
1982,2,1,2,25565500
1982,2,1,3,499584
1982,2,1,4,283666
1982,2,1,5,897524
1982,2,1,6,908078
1982,2,1,7,146769
1982,2,1,8,37811.3
1982,2,1,9,178843
1982,2,1,10,134089
1982,2,1,11,183223
1982,2,1,12,40182.2
1982,2,1,13,13247
1982,2,1,14,46766.6
1982,2,1,15,76479.9
1982,2,1,16,146617
1983,2,1,1,5307340
1983,2,1,2,15075900
1983,2,1,3,988711
1983,2,1,4,671522
1983,2,1,5,490889
1983,2,1,6,923945
1983,2,1,7,174830
1983,2,1,8,58583.9
1983,2,1,9,196287
1983,2,1,10,268899
