age,year,area,f
8,1975,2,0.0663951640140271
9,1975,2,0.06450708301357
10,1975,2,0.0634915490133216
11,1975,2,0.0633334830132691
12,1975,2,0.0634870770132882
13,1975,2,0.0635846400133011
14,1975,2,0.0637099040133223
15,1975,2,0.0637447360133248
16,1975,2,0.0640098630133747
1,1976,2,0.0468926730103107
2,1976,2,0.252872140066189
3,1976,2,0.243359980062902
4,1976,2,0.170692670042982
5,1976,2,0.0999422880240838
6,1976,2,0.0753057450176766
7,1976,2,0.0654782890151513
8,1976,2,0.0610911820140271
9,1976,2,0.05934122001357
10,1976,2,0.0584009710133216
11,1976,2,0.0582526090132691
12,1976,2,0.0583927260132882
13,1976,2,0.0584819260133011
14,1976,2,0.0585970230133223
15,1976,2,0.0586294940133248
16,1976,2,0.0588739870133747
1,1977,2,0.0482742228
2,1977,2,0.2587369828
3,1977,2,0.251822119
4,1977,2,0.1770671982
5,1977,2,0.1038186375
6,1977,2,0.0781525925
7,1977,2,0.0678919034
8,1977,2,0.0633080177
9,1977,2,0.0614766366
10,1977,2,0.060494021
11,1977,2,0.0603361821
12,1977,2,0.0604796722
13,1977,2,0.0605713065
14,1977,2,0.0606903356
15,1977,2,0.0607245925
16,1977,2,0.0609787248
1,1978,2,0.0570746407
2,1978,2,0.3075225874
3,1978,2,0.2964106459
4,1978,2,0.2079734355
5,1978,2,0.1217938535
6,1978,2,0.0917587601
7,1978,2,0.0797741952
8,1978,2,0.0744235766
9,1978,2,0.0722888018
10,1978,2,0.071142021
11,1978,2,0.0709606272
12,1978,2,0.0711310282
13,1978,2,0.0712395769
14,1978,2,0.0713797545
15,1978,2,0.0714194039
16,1978,2,0.0717173931
1,1979,2,0.0759363800103107
2,1979,2,0.410044150066189
3,1979,2,0.393638930062902
4,1979,2,0.275945390042982
5,1979,2,0.161518710024084
6,1979,2,0.121728840017677
7,1979,2,0.105864610015151
8,1979,2,0.0987838000140271
9,1979,2,0.09596036001357
10,1979,2,0.0944428600133216
11,1979,2,0.0942044000132691
12,1979,2,0.0944315600132882
13,1979,2,0.0945760700133011
14,1979,2,0.0947622600133223
15,1979,2,0.0948145600133248
16,1979,2,0.0952096300133747
1,1980,2,0.148012390010311
2,1980,2,0.776980800066189
3,1980,2,0.785415000062902
4,1980,2,0.556760170042982
5,1980,2,0.327913140024084
6,1980,2,0.246091750017677
7,1980,2,0.213151800015151
8,1980,2,0.198401720014027
9,1980,2,0.19247897001357
10,1980,2,0.189315300013322
11,1980,2,0.188778550013269
12,1980,2,0.189210770013288
13,1980,2,0.189489690013301
14,1980,2,0.189860400013322
15,1980,2,0.189973920013325
16,1980,2,0.190778160013375
1,1981,2,0.0632579740103107
2,1981,2,0.342208700066189
3,1981,2,0.327406390062902
4,1981,2,0.229342010042982
5,1981,2,0.134183470024084
6,1981,2,0.101156850017677
7,1981,2,0.0879980700151512
8,1981,2,0.0821261300140271
9,1981,2,0.07978589701357
10,1981,2,0.0785275350133216
11,1981,2,0.0783309230132691
12,1981,2,0.0785204300132882
13,1981,2,0.0786409100133011
14,1981,2,0.0787957860133223
15,1981,2,0.0788390390133248
16,1981,2,0.0791671810133747
1,1982,2,0.0957299900103107
2,1982,2,0.512571280066189
3,1982,2,0.499795460062902
4,1982,2,0.351570390042982
5,1982,2,0.206180400024084
6,1982,2,0.155184640017677
7,1982,2,0.134790480015151
8,1982,2,0.125678430014027
9,1982,2,0.12203700001357
10,1982,2,0.120083670013322
11,1982,2,0.119768980013269
12,1982,2,0.120053270013288
13,1982,2,0.120234910013301
14,1982,2,0.120471170013322
15,1982,2,0.120539370013325
16,1982,2,0.121044110013375
1,1983,2,0.0849786700103107
2,1983,2,0.453088220066189
3,1983,2,0.445226730062902
4,1983,2,0.313713040042982
5,1983,2,0.184151410024084
6,1983,2,0.138515700017677
7,1983,2,0.120238220015151
8,1983,2,0.112067880014027
9,1983,2,0.10879928001357
10,1983,2,0.107047620013322
11,1983,2,0.106762080013269
12,1983,2,0.107013530013288
13,1983,2,0.107174540013301
14,1983,2,0.107384930013322
15,1983,2,0.107446460013325
16,1983,2,0.107897470013375
1,1984,2,0.145753260010311
2,1984,2,0.776261600066189
3,1984,2,0.764345600062902
4,1984,2,0.538805770042982
5,1984,2,0.316359460024084
6,1984,2,0.237920860017677
7,1984,2,0.206493530015151
8,1984,2,0.192443130014027
