sex,year,age,f
2,2021,6,0.188244
1,2022,6,0.168729
2,2022,6,0.169335
1,2023,6,0.118147
2,2023,6,0.118607
1,1995,7,0.285234
2,1995,7,0.287054
1,1996,7,0.170716
2,1996,7,0.171761
1,1997,7,0.211826
2,1997,7,0.21312
1,1998,7,0.270997
2,1998,7,0.272652
1,1999,7,0.405811
2,1999,7,0.408304
1,2000,7,0.29457
2,2000,7,0.296409
1,2001,7,0.309384
2,2001,7,0.311295
1,2002,7,0.373093
2,2002,7,0.37544
1,2003,7,0.360077
2,2003,7,0.362339
1,2004,7,0.531998
2,2004,7,0.535342
1,2005,7,0.36249
2,2005,7,0.364755
1,2006,7,0.372252
2,2006,7,0.374606
1,2007,7,0.28676
2,2007,7,0.288564
1,2008,7,0.390939
2,2008,7,0.393402
1,2009,7,0.371419
2,2009,7,0.37378
1,2010,7,0.406114
2,2010,7,0.40868
1,2011,7,0.281153
2,2011,7,0.282889
1,2012,7,0.405525
2,2012,7,0.408075
1,2013,7,0.331772
2,2013,7,0.333838
1,2014,7,0.358589
2,2014,7,0.360821
1,2015,7,0.295485
2,2015,7,0.297313
1,2016,7,0.26747
2,2016,7,0.269114
1,2017,7,0.163442
2,2017,7,0.164394
1,2018,7,0.167609
2,2018,7,0.168591
1,2019,7,0.217144
2,2019,7,0.218432
1,2020,7,0.17047
2,2020,7,0.171478
1,2021,7,0.204025
2,2021,7,0.205276
1,2022,7,0.18339
2,2022,7,0.18445
1,2023,7,0.128447
2,2023,7,0.129258
1,1995,8,0.29313
2,1995,8,0.295646
1,1996,8,0.175613
2,1996,8,0.177056
1,1997,8,0.218216
2,1997,8,0.220006
1,1998,8,0.278544
2,1998,8,0.280826
1,1999,8,0.416707
2,1999,8,0.420139
1,2000,8,0.302673
2,2000,8,0.305211
1,2001,8,0.317726
2,2001,8,0.320359
1,2002,8,0.383422
2,2002,8,0.386664
1,2003,8,0.36996
2,2003,8,0.373083
1,2004,8,0.546597
2,2004,8,0.551214
1,2005,8,0.372639
2,2005,8,0.375769
1,2006,8,0.382628
2,2006,8,0.385881
1,2007,8,0.294785
2,2007,8,0.297277
1,2008,8,0.401762
2,2008,8,0.405165
1,2009,8,0.381776
2,2009,8,0.385041
1,2010,8,0.417578
2,2010,8,0.421127
1,2011,8,0.289415
2,2011,8,0.291815
1,2012,8,0.417125
2,2012,8,0.420651
1,2013,8,0.341503
2,2013,8,0.344361
1,2014,8,0.369033
2,2014,8,0.372121
1,2015,8,0.304321
2,2015,8,0.306852
1,2016,8,0.275469
2,2016,8,0.277743
1,2017,8,0.168913
2,2017,8,0.170232
1,2018,8,0.172845
2,2018,8,0.174202
1,2019,8,0.223957
2,2019,8,0.225737
1,2020,8,0.175739
2,2020,8,0.177132
1,2021,8,0.210055
2,2021,8,0.211784
1,2022,8,0.189134
2,2022,8,0.190598
1,2023,8,0.131994
2,2023,8,0.133115
1,1995,9,0.288684
2,1995,9,0.29146
1,1996,9,0.173405
2,1996,9,0.174996
1,1997,9,0.21576
2,1997,9,0.217737
1,1998,9,0.274877
2,1998,9,0.277392
1,1999,9,0.410777
2,1999,9,0.414558
1,2000,9,0.298323
2,2000,9,0.301122
1,2001,9,0.313161
2,2001,9,0.316062
1,2002,9,0.377842
2,2002,9,0.381418
1,2003,9,0.364526
2,2003,9,0.36797
1,2004,9,0.53855
2,2004,9,0.543642
1,2005,9,0.36742
2,2005,9,0.370871
1,2006,9,0.37704
2,2006,9,0.380629
1,2007,9,0.290573
2,2007,9,0.293322
1,2008,9,0.395889
2,2008,9,0.399643
1,2009,9,0.376112
2,2009,9,0.379715
1,2010,9,0.411611
2,2010,9,0.415527
1,2011,9,0.285843
2,2011,9,0.288492
1,2012,9,0.411386
2,2012,9,0.415278
1,2013,9,0.337155
2,2013,9,0.340309
1,2014,9,0.364269
2,2014,9,0.367677
1,2015,9,0.300667
2,2015,9,0.303462
1,2016,9,0.272241
2,2016,9,0.274752
1,2017,9,0.167799
2,2017,9,0.169257
1,2018,9,0.171348
2,2018,9,0.172846
1,2019,9,0.221934
2,2019,9,0.223901
1,2020,9,0.1741
2,2020,9,0.175639
1,2021,9,0.207557
2,2021,9,0.209465
1,2022,9,0.187609
2,2022,9,0.189224
1,2023,9,0.130045
2,2023,9,0.131281
1,1995,10,0.276388
2,1995,10,0.278839
1,1996,10,0.16667
2,1996,10,0.168075
1,1997,10,0.207657
2,1997,10,0.209402
1,1998,10,0.264074
2,1998,10,0.266293
1,1999,10,0.394154
2,1999,10,0.39749
1,2000,10,0.286054
2,2000,10,0.288523
1,2001,10,0.300392
2,2001,10,0.302951
1,2002,10,0.362143
2,2002,10,0.365299
1,2003,10,0.349353
2,2003,10,0.352392
1,2004,10,0.516105
2,2004,10,0.520598
1,2005,10,0.352419
2,2005,10,0.355465
1,2006,10,0.361295
2,2006,10,0.364462
1,2007,10,0.278573
2,2007,10,0.281
1,2008,10,0.379396
2,2008,10,0.382709
1,2009,10,0.360257
2,2009,10,0.363436
1,2010,10,0.394548
2,2010,10,0.398005
1,2011,10,0.274725
2,2011,10,0.277064
1,2012,10,0.394605
2,2012,10,0.398041
1,2013,10,0.32383
2,2013,10,0.326615
1,2014,10,0.349812
2,2014,10,0.352821
1,2015,10,0.289044
2,2015,10,0.291512
1,2016,10,0.261848
2,2016,10,0.264066
1,2017,10,0.162459
2,2017,10,0.163748
1,2018,10,0.165543
2,2018,10,0.166866
1,2019,10,0.21426
2,2019,10,0.215997
1,2020,10,0.168045
2,2020,10,0.169403
1,2021,10,0.199618
2,2021,10,0.201303
1,2022,10,0.18143
2,2022,10,0.182857
1,2023,10,0.124599
