age,year,area,f
12,1955,2,9.952874e-12
1,1956,2,2.061154e-20
2,1956,2,2.061154e-20
3,1956,2,2.061154e-20
4,1956,2,2.061154e-20
5,1956,2,1.004566e-11
6,1956,2,1.002987e-11
7,1956,2,1.000345e-11
8,1956,2,9.980627e-12
9,1956,2,9.965728e-12
10,1956,2,9.957274e-12
11,1956,2,9.952874e-12
12,1956,2,9.952874e-12
1,1957,2,1.102727e-13
2,1957,2,1.102727e-13
3,1957,2,1.102727e-13
4,1957,2,3.766855e-07
5,1957,2,1.364506e-05
6,1957,2,0.0001604733
7,1957,2,8.89292e-05
8,1957,2,2.85761e-05
9,1957,2,1.236843e-05
10,1957,2,7.571554e-06
11,1957,2,5.881685e-06
12,1957,2,5.881685e-06
1,1958,2,1.128183e-12
2,1958,2,1.128183e-12
3,1958,2,1.128183e-12
4,1958,2,3.712181e-06
5,1958,2,0.0001344714
6,1958,2,0.001601853
7,1958,2,0.001074744
8,1958,2,0.0004485597
9,1958,2,0.0002207205
10,1958,2,0.0001412626
11,1958,2,0.0001111747
12,1958,2,0.0001111747
1,1959,2,1.47274e-12
2,1959,2,1.47274e-12
3,1959,2,1.47274e-12
4,1959,2,2.846729e-06
5,1959,2,0.0001031412
6,1959,2,0.001527523
7,1959,2,0.003730946
8,1959,2,0.002790424
9,1959,2,0.001617543
10,1959,2,0.001084964
11,1959,2,0.0008650218
12,1959,2,0.0008650218
1,1960,2,2.121856e-12
2,1960,2,2.121856e-12
3,1960,2,2.121856e-12
4,1960,2,4.086041e-06
5,1960,2,0.0001480437
6,1960,2,0.002196444
7,1960,2,0.005393299
8,1960,2,0.00403729
9,1960,2,0.002340717
10,1960,2,0.0015701
11,1960,2,0.001251826
12,1960,2,0.001251826
1,1961,2,3.088671e-12
2,1961,2,3.138914e-07
3,1961,2,1.350728e-05
4,1961,2,0.0002021618
5,1961,2,0.0003927592
6,1961,2,0.003614627
7,1961,2,0.005403425
8,1961,2,0.003620385
9,1961,2,0.002054614
10,1961,2,0.00137209
11,1961,2,0.001093496
12,1961,2,0.001093496
1,1962,2,1.676881e-11
2,1962,2,1.224911e-06
3,1962,2,5.27098e-05
4,1962,2,0.0008106602
5,1962,2,0.002320818
6,1962,2,0.02256079
7,1962,2,0.01830973
8,1962,2,0.009118619
9,1962,2,0.00478955
10,1962,2,0.003132999
11,1962,2,0.002484159
12,1962,2,0.002484159
1,1963,2,5.648369e-11
2,1963,2,0.0001270878
3,1963,2,0.002285515
4,1963,2,0.02168544
5,1963,2,0.01925222
6,1963,2,0.06094709
7,1963,2,0.05668263
8,1963,2,0.03216492
9,1963,2,0.01810804
10,1963,2,0.01242671
11,1963,2,0.01016642
12,1963,2,0.01016642
1,1964,2,4.29286e-11
2,1964,2,3.49491e-05
3,1964,2,0.0009309001
4,1964,2,0.01143586
5,1964,2,0.0097751
6,1964,2,0.03919063
7,1964,2,0.08917964
8,1964,2,0.06641916
9,1964,2,0.03867475
10,1964,2,0.02609834
11,1964,2,0.02090967
12,1964,2,0.02090967
1,1965,2,3.484072e-11
2,1965,2,1.142865e-05
3,1965,2,0.0004567246
4,1965,2,0.006536513
5,1965,2,0.006917898
6,1965,2,0.03895868
7,1965,2,0.05265733
8,1965,2,0.03432942
9,1965,2,0.01942808
10,1965,2,0.01300399
11,1965,2,0.01039119
12,1965,2,0.01039119
1,1966,2,5.179076e-11
2,1966,2,1.922545e-05
3,1966,2,0.0006899344
4,1966,2,0.00958728
5,1966,2,0.01083222
6,1966,2,0.06263444
7,1966,2,0.05940211
8,1966,2,0.03311443
9,1966,2,0.01808029
10,1966,2,0.01201938
11,1966,2,0.009605322
12,1966,2,0.009605322
1,1967,2,3.857735e-11
2,1967,2,3.599852e-05
3,1967,2,0.0008614014
4,1967,2,0.009976918
5,1967,2,0.007222546
6,1967,2,0.02379429
7,1967,2,0.1284812
8,1967,2,0.1053997
9,1967,2,0.06232434
10,1967,2,0.04213901
11,1967,2,0.03373428
12,1967,2,0.03373428
1,1968,2,3.393262e-11
2,1968,2,6.417731e-05
3,1968,2,0.001361592
4,1968,2,0.01462369
5,1968,2,0.009851806
6,1968,2,0.01666163
7,1968,2,0.1097286
8,1968,2,0.09149458
9,1968,2,0.05440808
10,1968,2,0.03693637
11,1968,2,0.02965302
12,1968,2,0.02965302
1,1969,2,2.570802e-11
2,1969,2,5.024185e-05
3,1969,2,0.001487005
4,1969,2,0.019029
5,1969,2,0.01251774
6,1969,2,0.01392075
7,1969,2,0.04784999
8,1969,2,0.03838518
9,1969,2,0.02285164
10,1969,2,0.01562674
11,1969,2,0.01262776
12,1969,2,0.01262776
1,1970,2,3.789377e-11
2,1970,2,7.243562e-05
3,1970,2,0.001776788
4,1970,2,0.02085676
5,1970,2,0.01497012
6,1970,2,0.02800133
7,1970,2,0.06680424
8,1970,2,0.05079295
9,1970,2,0.02993761
10,1970,2,0.02041755
11,1970,2,0.01648528
12,1970,2,0.01648528
1,1971,2,5.815429e-11
2,1971,2,6.063073e-05
3,1971,2,0.001566888
4,1971,2,0.01887933
5,1971,2,0.01298301
6,1971,2,0.033138
7,1971,2,0.1906762
8,1971,2,0.1572548
9,1971,2,0.09312458
10,1971,2,0.06302
11,1971,2,0.05048011
12,1971,2,0.05048011
1,1972,2,9.123107e-11
2,1972,2,5.678546e-05
3,1972,2,0.001089513
4,1972,2,0.01091618
5,1972,2,0.009278448
6,1972,2,0.05911182
7,1972,2,0.3389318
8,1972,2,0.2784736
9,1972,2,0.1644629
10,1972,2,0.1110102
11,1972,2,0.08874741
12,1972,2,0.08874741
