area,sex,year,age,n
1,1,1960,4,50.4332
1,1,1961,4,50.4496
1,1,1962,4,50.4115
1,1,1963,4,50.1309
1,1,1964,4,49.8612
1,1,1965,4,49.8959
1,1,1966,4,49.4369
1,1,1967,4,49.035
1,1,1968,4,49.046
1,1,1969,4,48.6393
1,1,1970,4,48.655
1,1,1971,4,48.6915
1,1,1972,4,48.311
1,1,1973,4,47.5353
1,1,1974,4,47.2813
1,1,1975,4,47.0085
1,1,1976,4,47.432
1,1,1977,4,47.1832
1,1,1978,4,47.8161
1,1,1979,4,47.9033
1,1,1980,4,47.5607
1,1,1981,4,46.6694
1,1,1982,4,45.7918
1,1,1983,4,45.1945
1,1,1984,4,45.2752
1,1,1985,4,45.417
1,1,1986,4,45.3895
1,1,1987,4,44.7943
1,1,1988,4,49.0435
1,1,1989,4,44.1191
1,1,1990,4,41.3766
1,1,1991,4,45.2942
1,1,1992,4,49.4742
1,1,1993,4,53.2051
1,1,1994,4,79.8465
1,1,1995,4,45.521
1,1,1996,4,58.7563
1,1,1997,4,52.6222
1,1,1998,4,55.2137
1,1,1999,4,34.2097
1,1,2000,4,24.3635
1,1,2001,4,40.9074
1,1,2002,4,48.0287
1,1,2003,4,19.0741
1,1,2004,4,28.0354
1,1,2005,4,50.3306
1,1,2006,4,28.3982
1,1,2007,4,37.9036
1,1,2008,4,44.9233
1,1,2009,4,50.5339
1,1,2010,4,66.0749
1,1,2011,4,30.4243
1,1,2012,4,65.1699
1,1,2013,4,61.3205
1,1,2014,4,57.1788
1,1,2015,4,41.1559
1,1,2016,4,47.8213
1,1,2017,4,39.5981
1,1,2018,4,15.0795
1,1,2019,4,31.9896
1,1,2020,4,17.2781
1,1,2021,4,28.7325
1,1,2022,4,30.2468
1,1,2023,4,60.03
1,1,1952,5,40.6784
1,1,1953,5,40.6618
1,1,1954,5,40.6196
1,1,1955,5,40.4343
1,1,1956,5,40.3503
1,1,1957,5,40.3205
1,1,1958,5,40.2988
1,1,1959,5,40.2208
1,1,1960,5,40.1763
1,1,1961,5,40.1352
1,1,1962,5,40.0779
1,1,1963,5,39.8765
1,1,1964,5,39.6335
1,1,1965,5,39.5846
1,1,1966,5,39.1529
1,1,1967,5,38.8392
1,1,1968,5,38.7612
1,1,1969,5,38.2565
1,1,1970,5,38.3057
1,1,1971,5,38.2793
1,1,1972,5,37.9082
1,1,1973,5,37.6362
1,1,1974,5,37.0911
1,1,1975,5,36.7247
1,1,1976,5,37.1041
1,1,1977,5,36.9578
1,1,1978,5,37.5133
1,1,1979,5,37.7225
1,1,1980,5,37.5476
1,1,1981,5,37.1034
1,1,1982,5,36.2738
1,1,1983,5,35.5684
1,1,1984,5,35.4808
1,1,1985,5,35.4242
1,1,1986,5,35.3145
1,1,1987,5,35.4846
1,1,1988,5,34.9907
1,1,1989,5,37.9418
1,1,1990,5,34.1847
1,1,1991,5,32.3199
1,1,1992,5,35.4401
1,1,1993,5,38.4732
1,1,1994,5,41.6231
1,1,1995,5,62.1802
1,1,1996,5,35.6991
1,1,1997,5,45.3612
1,1,1998,5,39.533
1,1,1999,5,41.3688
1,1,2000,5,25.5215
1,1,2001,5,18.1543
1,1,2002,5,30.4262
1,1,2003,5,35.4691
1,1,2004,5,14.195
1,1,2005,5,20.9402
1,1,2006,5,37.7304
1,1,2007,5,21.6617
1,1,2008,5,28.825
1,1,2009,5,34.0079
1,1,2010,5,38.3503
1,1,2011,5,50.1691
1,1,2012,5,23.01
1,1,2013,5,49.2678
1,1,2014,5,46.4931
1,1,2015,5,43.3001
1,1,2016,5,31.1365
1,1,2017,5,36.0447
1,1,2018,5,29.6708
1,1,2019,5,11.2689
1,1,2020,5,23.8287
1,1,2021,5,13.183
1,1,2022,5,21.9459
1,1,2023,5,22.976
1,1,1952,6,32.9568
1,1,1953,6,32.9457
1,1,1954,6,32.9147
1,1,1955,6,32.7717
1,1,1956,6,32.6928
1,1,1957,6,32.648
1,1,1958,6,32.5903
1,1,1959,6,32.4966
1,1,1960,6,32.4845
1,1,1961,6,32.4587
1,1,1962,6,32.3809
1,1,1963,6,32.1931
1,1,1964,6,32.0128
1,1,1965,6,31.9459
1,1,1966,6,31.5537
1,1,1967,6,31.2495
1,1,1968,6,31.1807
1,1,1969,6,30.7208
1,1,1970,6,30.6122
1,1,1971,6,30.6176
1,1,1972,6,30.2918
1,1,1973,6,30.0044
1,1,1974,6,29.8443
1,1,1975,6,29.2815
1,1,1976,6,29.4642
1,1,1977,6,29.401
1,1,1978,6,29.8696
1,1,1979,6,30.0835
1,1,1980,6,30.062
1,1,1981,6,29.7885
1,1,1982,6,29.3284
1,1,1983,6,28.6359
1,1,1984,6,28.3695
1,1,1985,6,28.2215
1,1,1986,6,28.0103
1,1,1987,6,28.0664
1,1,1988,6,28.1653
1,1,1989,6,27.5204
1,1,1990,6,29.8802
