year,area,age,n
2001,1,3,28062100
2001,1,4,4652770
2001,1,5,4268390
2001,1,6,2926640
2001,1,7,2937150
2001,1,8,1303700
2001,1,9,681251
2001,1,10,334111
2001,1,11,349610
2001,1,12,429565
2002,1,1,87291400
2002,1,2,46503100
2002,1,3,7143820
2002,1,4,16379600
2002,1,5,2808460
2002,1,6,2515020
2002,1,7,1409060
2002,1,8,1453280
2002,1,9,696517
2002,1,10,385430
2002,1,11,194705
2002,1,12,466293
2003,1,1,71883100
2003,1,2,45158900
2003,1,3,26458800
2003,1,4,4147760
2003,1,5,9660230
2003,1,6,1500590
2003,1,7,952223
2003,1,8,562807
2003,1,9,662978
2003,1,10,339670
2003,1,11,196060
2003,1,12,347443
2004,1,1,46959900
2004,1,2,37029600
2004,1,3,25676000
2004,1,4,15433700
2004,1,5,2459110
2004,1,6,5464980
2004,1,7,616142
2004,1,8,394918
2004,1,9,264491
2004,1,10,331605
2004,1,11,174601
2004,1,12,288641
2005,1,1,46887300
2005,1,2,24192100
2005,1,3,21097900
2005,1,4,15031100
2005,1,5,9178360
2005,1,6,1382830
2005,1,7,2457970
2005,1,8,280890
2005,1,9,199559
2005,1,10,142863
2005,1,11,184252
2005,1,12,263743
2006,1,1,75039800
2006,1,2,24253700
2006,1,3,13810300
2006,1,4,12399500
2006,1,5,8986480
2006,1,6,5070420
2006,1,7,573814
2006,1,8,1060760
2006,1,9,136694
2006,1,10,105031
2006,1,11,78604.5
2006,1,12,253623
2007,1,1,97057100
2007,1,2,38790800
2007,1,3,13842800
2007,1,4,8190570
2007,1,5,7612320
2007,1,6,5150710
2007,1,7,2243400
2007,1,8,263390
2007,1,9,541876
2007,1,10,74205.9
2007,1,11,59147.6
2007,1,12,193244
2008,1,1,66684600
2008,1,2,50230000
2008,1,3,22236100
2008,1,4,8282730
2008,1,5,5066140
2008,1,6,4502630
2008,1,7,2395240
2008,1,8,1081600
2008,1,9,140453
2008,1,10,302005
2008,1,11,42141.6
2008,1,12,147682
2009,1,1,65656600
2009,1,2,34554500
2009,1,3,28753700
2009,1,4,13302000
2009,1,5,5160810
2009,1,6,2842880
2009,1,7,2109400
2009,1,8,1236650
2009,1,9,625350
2009,1,10,85683.2
2009,1,11,189117
2009,1,12,123305
2010,1,1,85134400
2010,1,2,33930100
2010,1,3,19799700
2010,1,4,17199600
2010,1,5,8124120
2010,1,6,2461280
2010,1,7,972064
2010,1,8,849412
2010,1,9,598222
2010,1,10,332760
2010,1,11,47549
2010,1,12,178412
2011,1,1,110042000
2011,1,2,44130700
2011,1,3,19469400
2011,1,4,11777000
2011,1,5,10284800
2011,1,6,3984330
2011,1,7,634966
2011,1,8,284835
2011,1,9,320698
2011,1,10,256690
2011,1,11,152060
2011,1,12,107318
2012,1,1,41104400
2012,1,2,57027200
2012,1,3,25268400
2012,1,4,11636300
2012,1,5,7293410
2012,1,6,6084600
2012,1,7,1725460
2012,1,8,306228
2012,1,9,156136
2012,1,10,179540
2012,1,11,144866
2012,1,12,148749
2013,1,1,61597800
2013,1,2,21304300
2013,1,3,32687500
2013,1,4,15129700
2013,1,5,7208200
2013,1,6,4124160
2013,1,7,2503270
2013,1,8,753627
2013,1,9,158538
2013,1,10,87755.2
2013,1,11,103504
2013,1,12,171832
2014,1,1,79261300
2014,1,2,31836900
2014,1,3,12184200
2014,1,4,19467600
2014,1,5,9290180
2014,1,6,3995950
2014,1,7,1567190
2014,1,8,1002490
2014,1,9,348081
2014,1,10,81407
2014,1,11,47365.1
2014,1,12,151814
2015,1,1,73997100
2015,1,2,41008800
2015,1,3,18203100
2015,1,4,7223300
2015,1,5,11888600
2015,1,6,5452710
2015,1,7,1570400
2015,1,8,604120
2015,1,9,443044
2015,1,10,168821
2015,1,11,42226
2015,1,12,107633
2016,1,1,39902500
2016,1,2,38347300
2016,1,3,23473000
2016,1,4,10807400
2016,1,5,4389600
2016,1,6,7099190
2016,1,7,2327830
2016,1,8,627268
2016,1,9,268793
2016,1,10,215641
2016,1,11,87060.3
2016,1,12,81568.6
2017,1,1,45910800
2017,1,2,20627200
2017,1,3,21952300
2017,1,4,13955300
2017,1,5,6571340
2017,1,6,2573380
2017,1,7,3190630
2017,1,8,1028090
2017,1,9,289307
2017,1,10,131932
2017,1,11,112055
2017,1,12,92334.9
2018,1,1,105250000
2018,1,2,23695900
2018,1,3,11792100
2018,1,4,12971900
2018,1,5,8366390
2018,1,6,3339530
2018,1,7,977202
2018,1,8,1344150
2018,1,9,488073
2018,1,10,144863
2018,1,11,69583.7
2018,1,12,113856
2019,1,1,88601000
2019,1,2,54521300
2019,1,3,13522400
2019,1,4,6931120
2019,1,5,7783000
2019,1,6,4614320
2019,1,7,1290720
2019,1,8,375065
2019,1,9,588835
2019,1,10,233587
2019,1,11,72373.5
2019,1,12,96728.6
2020,1,1,68494700
2020,1,2,45845800
2020,1,3,31165300
2020,1,4,8000260
2020,1,5,4200660
2020,1,6,4448010
2020,1,7,1729790
2020,1,8,475315
2020,1,9,155319
2020,1,10,270525
2020,1,11,114850
2020,1,12,87463.2
2021,1,1,54352000
2021,1,2,35441600
2021,1,3,26194600
2021,1,4,18279600
2021,1,5,4731910
2021,1,6,2330330
2021,1,7,1807360
2021,1,8,725430
2021,1,9,215854
2021,1,10,73216.2
2021,1,11,133368
2021,1,12,104349
2022,1,1,58323400
2022,1,2,28043000
2022,1,3,20214200
2022,1,4,15533300
2022,1,5,11257100
2022,1,6,2760660
2022,1,7,998759
2022,1,8,780099
2022,1,9,352659
2022,1,10,112311
2022,1,11,39462.2
2022,1,12,133880
1954,2,1,26481200
1954,2,2,12630100
1954,2,3,7158800
1954,2,4,4782390
1954,2,5,3635290
1954,2,6,2879020
1954,2,7,2256940
1954,2,8,1760440
1954,2,9,1368320
1954,2,10,1058710
1954,2,11,815027
1954,2,12,3786210
1955,2,1,26481200
1955,2,2,12744800
1955,2,3,7156850
1955,2,4,4665420
1955,2,5,3498030
1955,2,6,2783160
1955,2,7,2195390
1955,2,8,1722400
1955,2,9,1343780
1955,2,10,1042750
1955,2,11,804751
1955,2,12,3432750
1956,2,1,29186200
1956,2,2,12142000
1956,2,3,7068590
1956,2,4,4822090
1956,2,5,3661470
1956,2,6,2864240
1956,2,7,2217540
1956,2,8,1729980
1956,2,9,1353730
1956,2,10,1049930
1956,2,11,808701
1956,2,12,3171920
1957,2,1,16220500
1957,2,2,13382300
1957,2,3,6835360
1957,2,4,4786010
1957,2,5,3724060
1957,2,6,2923860
1957,2,7,2252390
1957,2,8,1724120
1957,2,9,1341220
1957,2,10,1046730
1957,2,11,807720
1957,2,12,2980820
1958,2,1,18318900
1958,2,2,7437320
1958,2,3,7533570
1958,2,4,4689300
1958,2,5,3710730
1958,2,6,2948850
1958,2,7,2274160
1958,2,8,1741860
1958,2,9,1328070
1958,2,10,1029640
1958,2,11,800500
1958,2,12,2833120
1959,2,1,8465060
1959,2,2,8535880
1959,2,3,4234050
1959,2,4,5229900
1959,2,5,3716970
1959,2,6,2976890
1959,2,7,2302640
1959,2,8,1763070
1959,2,9,1349020
1959,2,10,1024780
1959,2,11,791216
1959,2,12,2736150
1960,2,1,5341860
1960,2,2,3944380
1960,2,3,4833600
1960,2,4,2925850
1960,2,5,4119440
1960,2,6,2975290
1960,2,7,2301770
1960,2,8,1754960
1960,2,9,1342700
1960,2,10,1026620
1960,2,11,777320
1960,2,12,2627360
1961,2,1,14796200
1961,2,2,2489090
1961,2,3,2233590
1961,2,4,3325190
1961,2,5,2297090
1961,2,6,3285990
1961,2,7,2298120
1961,2,8,1744110
1961,2,9,1326080
1961,2,10,1014000
1961,2,11,773499
1961,2,12,2521690
1962,2,1,19062000
1962,2,2,6894430
1962,2,3,1409510
1962,2,4,1536570
1962,2,5,2601240
1962,2,6,1827200
1962,2,7,2527780
1962,2,8,1732610
1962,2,9,1310510
1962,2,10,996020
1962,2,11,760156
1962,2,12,2431390
1963,2,1,24980000
1963,2,2,8882110
1963,2,3,3904100
1963,2,4,969548
1963,2,5,1201010
1963,2,6,2058440
1963,2,7,1364570
1963,2,8,1872150
1963,2,9,1291330
1963,2,10,978679
1963,2,11,743149
1963,2,12,2346560
1964,2,1,7392850
1964,2,2,11639700
1964,2,3,5029050
1964,2,4,2679860
1964,2,5,743862
1964,2,6,937623
1964,2,7,1488910
1964,2,8,972254
1964,2,9,1359840
1964,2,10,947981
1964,2,11,720233
1964,2,12,2245500
1965,2,1,2935850
1965,2,2,3444770
1965,2,3,6590980
1965,2,4,3456660
1965,2,5,2076870
1965,2,6,589425
1965,2,7,698016
1965,2,8,1058320
1965,2,9,696471
1965,2,10,987965
1965,2,11,692077
1965,2,12,2140140
1966,2,1,13091600
1966,2,2,1367990
1966,2,3,1950650
1966,2,4,4532220
1966,2,5,2690670
1966,2,6,1645560
1966,2,7,436897
1966,2,8,504477
1966,2,9,785589
1966,2,10,518703
1966,2,11,732170
1966,2,12,2064050
1967,2,1,9180330
1967,2,2,6100160
1967,2,3,774626
1967,2,4,1340690
1967,2,5,3510340
1967,2,6,2112600
1967,2,7,1180220
1967,2,8,305736
1967,2,9,360693
1967,2,10,572461
1967,2,11,377970
1967,2,12,2005500
1968,2,1,9916960
1968,2,2,4277670
1968,2,3,3454110
1968,2,4,532133
1968,2,5,1035840
1968,2,6,2755670
1968,2,7,1565530
1968,2,8,782783
1968,2,9,203138
1968,2,10,246924
1968,2,11,398484
1968,2,12,1643140
1969,2,1,8541230
1969,2,2,4620910
1969,2,3,2422130
1969,2,4,2372080
1969,2,5,409271
1969,2,6,809142
1969,2,7,2051810
1969,2,8,1044410
1969,2,9,534070
1969,2,10,141135
1969,2,11,172064
